dataset, model, attack, eps, defense, date, acc
fmnist, F, fgsm, 0.1, defense_gan, 2021-11-09 23:52, 0.7223115577889447
fmnist, A, fgsm, 0.05, defense_gan, 2021-11-09 23:52, 0.7820100502512563
fmnist, C, cw, 0.3, defense_gan, 2021-11-09 23:52, 0.2674371859296482
fmnist, B, fgsm, 0.05, defense_gan, 2021-11-09 23:52, 0.6562814070351759
fmnist, E, fgsm, 0.2, defense_gan, 2021-11-09 23:52, 0.49055276381909546
fmnist, F, fgsm, 0.2, defense_gan, 2021-11-09 23:52, 0.5734673366834171
fmnist, A, fgsm, 0.1, defense_gan, 2021-11-09 23:52, 0.7202010050251256
fmnist, B, fgsm, 0.1, defense_gan, 2021-11-09 23:52, 0.6588944723618091
fmnist, E, fgsm, 0.3, defense_gan, 2021-11-09 23:52, 0.2951758793969849
fmnist, F, fgsm, 0.3, defense_gan, 2021-11-09 23:52, 0.4201005025125628
fmnist, A, fgsm, 0.2, defense_gan, 2021-11-09 23:52, 0.554572864321608
fmnist, B, fgsm, 0.2, defense_gan, 2021-11-09 23:52, 0.5116582914572865
fmnist, E, pgd, 0.05, defense_gan, 2021-11-09 23:52, 0.7707537688442211
fmnist, F, pgd, 0.05, defense_gan, 2021-11-09 23:52, 0.7801005025125628
fmnist, A, fgsm, 0.3, defense_gan, 2021-11-09 23:52, 0.37256281407035174
fmnist, B, fgsm, 0.3, defense_gan, 2021-11-09 23:52, 0.4038190954773869
fmnist, E, pgd, 0.1, defense_gan, 2021-11-09 23:52, 0.744321608040201
fmnist, F, pgd, 0.1, defense_gan, 2021-11-09 23:52, 0.7588944723618091
fmnist, A, pgd, 0.05, defense_gan, 2021-11-09 23:52, 0.7817085427135678
fmnist, B, pgd, 0.05, defense_gan, 2021-11-09 23:52, 0.675678391959799
fmnist, E, pgd, 0.2, defense_gan, 2021-11-09 23:52, 0.7262311557788945
fmnist, F, pgd, 0.2, defense_gan, 2021-11-09 23:52, 0.7415075376884422
fmnist, A, pgd, 0.1, defense_gan, 2021-11-09 23:52, 0.7597989949748744
fmnist, E, pgd, 0.3, defense_gan, 2021-11-09 23:52, 0.7128643216080403
fmnist, B, pgd, 0.1, defense_gan, 2021-11-09 23:52, 0.6617085427135678
fmnist, F, pgd, 0.3, defense_gan, 2021-11-09 23:52, 0.729748743718593
fmnist, A, pgd, 0.2, defense_gan, 2021-11-09 23:52, 0.7546733668341709
fmnist, E, mim, 0.05, defense_gan, 2021-11-09 23:52, 0.07025125628140703
fmnist, B, pgd, 0.2, defense_gan, 2021-11-09 23:52, 0.652964824120603
fmnist, F, mim, 0.05, defense_gan, 2021-11-09 23:52, 0.13095477386934673
fmnist, A, pgd, 0.3, defense_gan, 2021-11-09 23:52, 0.7558793969849247
fmnist, E, mim, 0.1, defense_gan, 2021-11-09 23:52, 0.0707537688442211
fmnist, B, pgd, 0.3, defense_gan, 2021-11-09 23:52, 0.6204020100502513
fmnist, F, mim, 0.1, defense_gan, 2021-11-09 23:52, 0.14522613065326634
fmnist, A, mim, 0.05, defense_gan, 2021-11-09 23:52, 0.14964824120603015
fmnist, E, mim, 0.2, defense_gan, 2021-11-09 23:52, 0.07015075376884422
fmnist, B, mim, 0.05, defense_gan, 2021-11-09 23:52, 0.11336683417085427
fmnist, F, mim, 0.2, defense_gan, 2021-11-09 23:52, 0.12442211055276382
fmnist, A, mim, 0.1, defense_gan, 2021-11-09 23:52, 0.12874371859296482
fmnist, E, mim, 0.3, defense_gan, 2021-11-09 23:52, 0.07155778894472362
fmnist, B, mim, 0.1, defense_gan, 2021-11-09 23:52, 0.09608040201005025
fmnist, F, mim, 0.3, defense_gan, 2021-11-09 23:52, 0.13628140703517588
fmnist, A, mim, 0.2, defense_gan, 2021-11-09 23:52, 0.1215075376884422
fmnist, E, cw, 0.05, defense_gan, 2021-11-09 23:52, 0.1171859296482412
fmnist, F, cw, 0.05, defense_gan, 2021-11-09 23:52, 0.2078391959798995
fmnist, B, mim, 0.2, defense_gan, 2021-11-09 23:52, 0.09668341708542713
fmnist, A, mim, 0.3, defense_gan, 2021-11-09 23:52, 0.10402010050251256
fmnist, E, cw, 0.1, defense_gan, 2021-11-09 23:52, 0.11467336683417086
fmnist, F, cw, 0.1, defense_gan, 2021-11-09 23:52, 0.22683417085427135
fmnist, B, mim, 0.3, defense_gan, 2021-11-09 23:52, 0.10492462311557789
fmnist, A, cw, 0.05, defense_gan, 2021-11-09 23:52, 0.1915577889447236
fmnist, E, cw, 0.2, defense_gan, 2021-11-09 23:52, 0.11477386934673367
fmnist, F, cw, 0.2, defense_gan, 2021-11-09 23:52, 0.21577889447236182
fmnist, B, cw, 0.05, defense_gan, 2021-11-09 23:52, 0.2873366834170854
fmnist, A, cw, 0.1, defense_gan, 2021-11-09 23:52, 0.20090452261306532
fmnist, E, cw, 0.3, defense_gan, 2021-11-09 23:52, 0.11708542713567839
fmnist, F, cw, 0.3, defense_gan, 2021-11-09 23:52, 0.21899497487437186
fmnist, A, cw, 0.2, defense_gan, 2021-11-09 23:52, 0.2064321608040201
fmnist, B, cw, 0.1, defense_gan, 2021-11-09 23:52, 0.25206030150753767
fmnist, A, cw, 0.3, defense_gan, 2021-11-09 23:52, 0.20381909547738694
fmnist, B, cw, 0.2, defense_gan, 2021-11-09 23:52, 0.2871356783919598
fmnist, B, cw, 0.3, defense_gan, 2021-11-09 23:52, 0.28954773869346734
fmnist, D, pgd, 0.05, defense_gan, 2021-11-14 13:19, 0.7743718592964824
fmnist, D, pgd, 0.1, defense_gan, 2021-11-14 13:19, 0.725427135678392
fmnist, D, pgd, 0.2, defense_gan, 2021-11-14 13:19, 0.5876381909547739
fmnist, C, pgd, 0.05, defense_gan, 2021-11-14 13:19, 0.7860301507537688
fmnist, D, pgd, 0.3, defense_gan, 2021-11-14 13:19, 0.41809045226130653
fmnist, C, pgd, 0.1, defense_gan, 2021-11-14 13:19, 0.7568844221105527
fmnist, D, mim, 0.05, defense_gan, 2021-11-14 13:19, 0.7725628140703518
fmnist, C, pgd, 0.2, defense_gan, 2021-11-14 13:19, 0.711356783919598
fmnist, D, mim, 0.1, defense_gan, 2021-11-14 13:19, 0.6974874371859296
fmnist, C, pgd, 0.3, defense_gan, 2021-11-14 13:19, 0.6868341708542713
fmnist, D, mim, 0.2, defense_gan, 2021-11-14 13:19, 0.5062311557788944
fmnist, C, mim, 0.05, defense_gan, 2021-11-14 13:19, 0.7801005025125628
fmnist, D, mim, 0.3, defense_gan, 2021-11-14 13:19, 0.2835175879396985
fmnist, C, mim, 0.1, defense_gan, 2021-11-14 13:19, 0.7293467336683417
fmnist, D, bim, 0.05, defense_gan, 2021-11-14 13:19, 0.7807035175879397
fmnist, C, mim, 0.2, defense_gan, 2021-11-14 13:19, 0.5719597989949748
fmnist, D, bim, 0.1, defense_gan, 2021-11-14 13:19, 0.7177889447236181
fmnist, C, mim, 0.3, defense_gan, 2021-11-14 13:19, 0.42311557788944726
fmnist, D, bim, 0.2, defense_gan, 2021-11-14 13:19, 0.552964824120603
fmnist, C, bim, 0.05, defense_gan, 2021-11-14 13:19, 0.7850251256281408
fmnist, D, bim, 0.3, defense_gan, 2021-11-14 13:19, 0.36824120603015076
fmnist, C, bim, 0.1, defense_gan, 2021-11-14 13:19, 0.7420100502512563
fmnist, D, cw, 0.05, defense_gan, 2021-11-14 13:19, 0.0971859296482412
fmnist, D, cw, 0.1, defense_gan, 2021-11-14 13:19, 0.09939698492462312
fmnist, C, bim, 0.2, defense_gan, 2021-11-14 13:19, 0.6413065326633166
fmnist, D, cw, 0.2, defense_gan, 2021-11-14 13:19, 0.09658291457286432
fmnist, C, bim, 0.3, defense_gan, 2021-11-14 13:19, 0.5437185929648242
fmnist, D, cw, 0.3, defense_gan, 2021-11-14 13:19, 0.09899497487437187
fmnist, C, cw, 0.05, defense_gan, 2021-11-14 13:19, 0.2449246231155779
fmnist, D, fgsm, 0.05, defense_gan, 2021-11-14 13:19, 0.7711557788944724
fmnist, C, cw, 0.1, defense_gan, 2021-11-14 13:19, 0.2684422110552764
fmnist, D, fgsm, 0.1, defense_gan, 2021-11-14 13:19, 0.6993969849246231
fmnist, C, cw, 0.2, defense_gan, 2021-11-14 13:19, 0.2771859296482412
fmnist, D, fgsm, 0.2, defense_gan, 2021-11-14 13:19, 0.4795979899497487
fmnist, C, cw, 0.3, defense_gan, 2021-11-14 13:19, 0.2705527638190955
fmnist, D, fgsm, 0.3, defense_gan, 2021-11-14 13:19, 0.2408040201005025
fmnist, C, fgsm, 0.05, defense_gan, 2021-11-14 13:19, 0.7780904522613066
fmnist, C, fgsm, 0.1, defense_gan, 2021-11-14 13:19, 0.7423115577889448
fmnist, E, pgd, 0.05, defense_gan, 2021-11-14 13:19, 0.7736683417085427
fmnist, F, pgd, 0.05, defense_gan, 2021-11-14 13:19, 0.7809045226130653
fmnist, C, fgsm, 0.2, defense_gan, 2021-11-14 13:19, 0.587035175879397
fmnist, A, pgd, 0.05, defense_gan, 2021-11-14 13:18, 0.7830150753768844
fmnist, C, fgsm, 0.3, defense_gan, 2021-11-14 13:19, 0.4449246231155779
fmnist, E, pgd, 0.1, defense_gan, 2021-11-14 13:19, 0.7224120603015075
fmnist, F, pgd, 0.1, defense_gan, 2021-11-14 13:19, 0.7311557788944724
fmnist, B, pgd, 0.05, defense_gan, 2021-11-14 13:19, 0.6648241206030151
fmnist, A, pgd, 0.1, defense_gan, 2021-11-14 13:18, 0.7406030150753768
fmnist, E, pgd, 0.2, defense_gan, 2021-11-14 13:19, 0.6044221105527638
fmnist, F, pgd, 0.2, defense_gan, 2021-11-14 13:19, 0.6444221105527638
fmnist, B, pgd, 0.1, defense_gan, 2021-11-14 13:19, 0.6597989949748744
fmnist, E, pgd, 0.3, defense_gan, 2021-11-14 13:19, 0.4580904522613065
fmnist, F, pgd, 0.3, defense_gan, 2021-11-14 13:19, 0.5520603015075377
fmnist, A, pgd, 0.2, defense_gan, 2021-11-14 13:18, 0.664321608040201
fmnist, B, pgd, 0.2, defense_gan, 2021-11-14 13:19, 0.5938693467336683
fmnist, F, mim, 0.05, defense_gan, 2021-11-14 13:19, 0.7788944723618091
fmnist, E, mim, 0.05, defense_gan, 2021-11-14 13:19, 0.7701507537688442
fmnist, A, pgd, 0.3, defense_gan, 2021-11-14 13:18, 0.6374874371859296
fmnist, B, pgd, 0.3, defense_gan, 2021-11-14 13:19, 0.4692462311557789
