dataset, model, attack, eps, defense, date, acc
mnist, C, fgsm, 0.2, defense_gan, 2021-11-09 23:52, 0.9577889447236181
mnist, D, fgsm, 0.3, defense_gan, 2021-11-09 23:52, 0.8010050251256281
mnist, E, fgsm, 0.1, defense_gan, 2021-11-09 23:52, 0.9604020100502513
mnist, F, fgsm, 0.1, defense_gan, 2021-11-09 23:52, 0.9710552763819096
mnist, A, fgsm, 0.1, defense_gan, 2021-11-09 23:52, 0.9737688442211055
mnist, B, fgsm, 0.1, defense_gan, 2021-11-09 23:52, 0.9393969849246231
mnist, C, fgsm, 0.3, defense_gan, 2021-11-09 23:52, 0.9064321608040201
mnist, D, pgd, 0.05, defense_gan, 2021-11-09 23:52, 0.9699497487437186
mnist, C, pgd, 0.05, defense_gan, 2021-11-09 23:52, 0.9793969849246231
mnist, D, pgd, 0.1, defense_gan, 2021-11-09 23:52, 0.9674371859296482
mnist, E, fgsm, 0.2, defense_gan, 2021-11-09 23:52, 0.9101507537688442
mnist, F, fgsm, 0.2, defense_gan, 2021-11-09 23:52, 0.9360804020100503
mnist, A, fgsm, 0.2, defense_gan, 2021-11-09 23:52, 0.9516582914572864
mnist, B, fgsm, 0.2, defense_gan, 2021-11-09 23:52, 0.9005025125628141
mnist, C, pgd, 0.1, defense_gan, 2021-11-09 23:52, 0.9770854271356784
mnist, D, pgd, 0.2, defense_gan, 2021-11-09 23:52, 0.9652261306532663
mnist, C, pgd, 0.2, defense_gan, 2021-11-09 23:52, 0.9742713567839196
mnist, D, pgd, 0.3, defense_gan, 2021-11-09 23:52, 0.9608040201005025
mnist, F, fgsm, 0.3, defense_gan, 2021-11-09 23:52, 0.8487437185929648
mnist, E, fgsm, 0.3, defense_gan, 2021-11-09 23:52, 0.7938693467336684
mnist, A, fgsm, 0.3, defense_gan, 2021-11-09 23:52, 0.8855276381909548
mnist, B, fgsm, 0.3, defense_gan, 2021-11-09 23:52, 0.7805025125628141
mnist, C, pgd, 0.3, defense_gan, 2021-11-09 23:52, 0.9749748743718593
mnist, D, mim, 0.05, defense_gan, 2021-11-09 23:52, 0.015577889447236181
mnist, C, mim, 0.05, defense_gan, 2021-11-09 23:52, 0.39386934673366836
mnist, F, pgd, 0.05, defense_gan, 2021-11-09 23:52, 0.9743718592964824
mnist, D, mim, 0.1, defense_gan, 2021-11-09 23:52, 0.01507537688442211
mnist, E, pgd, 0.05, defense_gan, 2021-11-09 23:52, 0.9698492462311558
mnist, A, pgd, 0.05, defense_gan, 2021-11-09 23:52, 0.9764824120603015
mnist, B, pgd, 0.05, defense_gan, 2021-11-09 23:52, 0.9560804020100503
mnist, C, mim, 0.1, defense_gan, 2021-11-09 23:52, 0.4263316582914573
mnist, D, mim, 0.2, defense_gan, 2021-11-09 23:52, 0.015678391959798994
mnist, F, pgd, 0.1, defense_gan, 2021-11-09 23:52, 0.9739698492462312
mnist, E, pgd, 0.1, defense_gan, 2021-11-09 23:52, 0.9669346733668341
mnist, D, mim, 0.3, defense_gan, 2021-11-09 23:52, 0.014170854271356784
mnist, C, mim, 0.2, defense_gan, 2021-11-09 23:52, 0.37829145728643215
mnist, A, pgd, 0.1, defense_gan, 2021-11-09 23:52, 0.9770854271356784
mnist, B, pgd, 0.1, defense_gan, 2021-11-09 23:52, 0.955678391959799
mnist, D, cw, 0.05, defense_gan, 2021-11-09 23:52, 0.12160804020100502
mnist, C, mim, 0.3, defense_gan, 2021-11-09 23:52, 0.37386934673366834
mnist, F, pgd, 0.2, defense_gan, 2021-11-09 23:52, 0.9717587939698492
mnist, E, pgd, 0.2, defense_gan, 2021-11-09 23:52, 0.963819095477387
mnist, D, cw, 0.1, defense_gan, 2021-11-09 23:52, 0.11587939698492462
mnist, C, cw, 0.05, defense_gan, 2021-11-09 23:52, 0.21175879396984926
mnist, A, pgd, 0.2, defense_gan, 2021-11-09 23:52, 0.9753768844221106
mnist, B, pgd, 0.2, defense_gan, 2021-11-09 23:52, 0.9539698492462312
mnist, D, cw, 0.2, defense_gan, 2021-11-09 23:52, 0.11798994974874372
mnist, C, cw, 0.1, defense_gan, 2021-11-09 23:52, 0.23537688442211055
mnist, F, pgd, 0.3, defense_gan, 2021-11-09 23:52, 0.9667336683417086
mnist, E, pgd, 0.3, defense_gan, 2021-11-09 23:52, 0.9589949748743719
mnist, D, cw, 0.3, defense_gan, 2021-11-09 23:52, 0.11869346733668341
mnist, A, pgd, 0.3, defense_gan, 2021-11-09 23:52, 0.9745728643216081
mnist, C, cw, 0.2, defense_gan, 2021-11-09 23:52, 0.25909547738693467
mnist, B, pgd, 0.3, defense_gan, 2021-11-09 23:52, 0.9499497487437186
mnist, C, cw, 0.3, defense_gan, 2021-11-09 23:52, 0.2249246231155779
mnist, F, mim, 0.05, defense_gan, 2021-11-09 23:52, 0.2006030150753769
mnist, E, mim, 0.05, defense_gan, 2021-11-09 23:52, 0.03376884422110553
mnist, A, mim, 0.05, defense_gan, 2021-11-09 23:52, 0.410251256281407
mnist, B, mim, 0.05, defense_gan, 2021-11-09 23:52, 0.028743718592964825
mnist, F, mim, 0.1, defense_gan, 2021-11-09 23:52, 0.24321608040201004
mnist, E, mim, 0.1, defense_gan, 2021-11-09 23:52, 0.04120603015075377
mnist, A, mim, 0.1, defense_gan, 2021-11-09 23:52, 0.36824120603015076
mnist, B, mim, 0.1, defense_gan, 2021-11-09 23:52, 0.06592964824120603
mnist, F, mim, 0.2, defense_gan, 2021-11-09 23:52, 0.2241206030150754
mnist, E, mim, 0.2, defense_gan, 2021-11-09 23:52, 0.04050251256281407
mnist, A, mim, 0.2, defense_gan, 2021-11-09 23:52, 0.40241206030150756
mnist, B, mim, 0.2, defense_gan, 2021-11-09 23:52, 0.025326633165829147
mnist, E, mim, 0.3, defense_gan, 2021-11-09 23:52, 0.03819095477386935
mnist, F, mim, 0.3, defense_gan, 2021-11-09 23:52, 0.19597989949748743
mnist, A, mim, 0.3, defense_gan, 2021-11-09 23:52, 0.39718592964824123
mnist, B, mim, 0.3, defense_gan, 2021-11-09 23:52, 0.043718592964824124
mnist, E, cw, 0.05, defense_gan, 2021-11-09 23:52, 0.11869346733668341
mnist, F, cw, 0.05, defense_gan, 2021-11-09 23:52, 0.23608040201005026
mnist, A, cw, 0.05, defense_gan, 2021-11-09 23:52, 0.3052261306532663
mnist, E, cw, 0.1, defense_gan, 2021-11-09 23:52, 0.11487437185929648
mnist, B, cw, 0.05, defense_gan, 2021-11-09 23:52, 0.24231155778894473
mnist, F, cw, 0.1, defense_gan, 2021-11-09 23:52, 0.23768844221105528
mnist, A, cw, 0.1, defense_gan, 2021-11-09 23:52, 0.27969849246231154
mnist, E, cw, 0.2, defense_gan, 2021-11-09 23:52, 0.1185929648241206
mnist, B, cw, 0.1, defense_gan, 2021-11-09 23:52, 0.2522613065326633
mnist, F, cw, 0.2, defense_gan, 2021-11-09 23:52, 0.22914572864321608
mnist, A, cw, 0.2, defense_gan, 2021-11-09 23:52, 0.2828140703517588
mnist, E, cw, 0.3, defense_gan, 2021-11-09 23:52, 0.12110552763819095
mnist, B, cw, 0.2, defense_gan, 2021-11-09 23:52, 0.2464321608040201
mnist, F, cw, 0.3, defense_gan, 2021-11-09 23:52, 0.22613065326633167
mnist, A, cw, 0.3, defense_gan, 2021-11-09 23:52, 0.2792964824120603
mnist, B, cw, 0.3, defense_gan, 2021-11-09 23:52, 0.24231155778894473
mnist, D, pgd, 0.05, defense_gan, 2021-11-14 13:19, 0.9702512562814071
mnist, C, pgd, 0.05, defense_gan, 2021-11-14 13:19, 0.9815075376884422
mnist, E, pgd, 0.05, defense_gan, 2021-11-14 13:19, 0.972964824120603
mnist, D, pgd, 0.1, defense_gan, 2021-11-14 13:19, 0.9631155778894472
mnist, F, pgd, 0.05, defense_gan, 2021-11-14 13:19, 0.9760804020100502
mnist, A, pgd, 0.05, defense_gan, 2021-11-14 13:18, 0.98
mnist, B, pgd, 0.05, defense_gan, 2021-11-14 13:19, 0.9566834170854271
mnist, C, pgd, 0.1, defense_gan, 2021-11-14 13:19, 0.9754773869346733
mnist, D, pgd, 0.2, defense_gan, 2021-11-14 13:19, 0.9366834170854271
mnist, C, pgd, 0.2, defense_gan, 2021-11-14 13:19, 0.9601005025125628
mnist, E, pgd, 0.1, defense_gan, 2021-11-14 13:19, 0.9633165829145729
mnist, D, pgd, 0.3, defense_gan, 2021-11-14 13:19, 0.8657286432160805
mnist, F, pgd, 0.1, defense_gan, 2021-11-14 13:19, 0.9705527638190955
mnist, A, pgd, 0.1, defense_gan, 2021-11-14 13:18, 0.9733668341708542
mnist, B, pgd, 0.1, defense_gan, 2021-11-14 13:19, 0.9536683417085428
mnist, C, pgd, 0.3, defense_gan, 2021-11-14 13:19, 0.9448241206030151
mnist, D, mim, 0.05, defense_gan, 2021-11-14 13:19, 0.9678391959798995
mnist, C, mim, 0.05, defense_gan, 2021-11-14 13:19, 0.9785929648241206
mnist, E, pgd, 0.2, defense_gan, 2021-11-14 13:19, 0.9266331658291457
mnist, F, pgd, 0.2, defense_gan, 2021-11-14 13:19, 0.9499497487437186
mnist, D, mim, 0.1, defense_gan, 2021-11-14 13:19, 0.9589949748743719
mnist, A, pgd, 0.2, defense_gan, 2021-11-14 13:18, 0.964321608040201
mnist, B, pgd, 0.2, defense_gan, 2021-11-14 13:19, 0.9440201005025126
mnist, C, mim, 0.1, defense_gan, 2021-11-14 13:19, 0.9747738693467337
mnist, D, mim, 0.2, defense_gan, 2021-11-14 13:19, 0.9248241206030151
mnist, C, mim, 0.2, defense_gan, 2021-11-14 13:19, 0.9608040201005025
mnist, E, pgd, 0.3, defense_gan, 2021-11-14 13:19, 0.8536683417085427
mnist, F, pgd, 0.3, defense_gan, 2021-11-14 13:19, 0.894070351758794
mnist, D, mim, 0.3, defense_gan, 2021-11-14 13:19, 0.8265326633165829
mnist, A, pgd, 0.3, defense_gan, 2021-11-14 13:18, 0.9424120603015076
mnist, B, pgd, 0.3, defense_gan, 2021-11-14 13:19, 0.911356783919598
mnist, C, mim, 0.3, defense_gan, 2021-11-14 13:19, 0.8977889447236181
mnist, D, bim, 0.05, defense_gan, 2021-11-14 13:19, 0.9684422110552764
mnist, E, mim, 0.05, defense_gan, 2021-11-14 13:19, 0.9714572864321608
mnist, C, bim, 0.05, defense_gan, 2021-11-14 13:19, 0.9792964824120604
mnist, F, mim, 0.05, defense_gan, 2021-11-14 13:19, 0.9755778894472362
mnist, D, bim, 0.1, defense_gan, 2021-11-14 13:19, 0.9651256281407036
mnist, A, mim, 0.05, defense_gan, 2021-11-14 13:18, 0.9774874371859297
mnist, B, mim, 0.05, defense_gan, 2021-11-14 13:19, 0.9521608040201005
mnist, D, bim, 0.2, defense_gan, 2021-11-14 13:19, 0.9312562814070352
mnist, C, bim, 0.1, defense_gan, 2021-11-14 13:19, 0.974070351758794
mnist, E, mim, 0.1, defense_gan, 2021-11-14 13:19, 0.9602010050251256
mnist, F, mim, 0.1, defense_gan, 2021-11-14 13:19, 0.9673366834170855
mnist, D, bim, 0.3, defense_gan, 2021-11-14 13:19, 0.8542713567839196
mnist, C, bim, 0.2, defense_gan, 2021-11-14 13:19, 0.962211055276382
mnist, A, mim, 0.1, defense_gan, 2021-11-14 13:18, 0.9731658291457287
mnist, B, mim, 0.1, defense_gan, 2021-11-14 13:19, 0.9472361809045227
mnist, D, cw, 0.05, defense_gan, 2021-11-14 13:19, 0.12050251256281407
mnist, C, bim, 0.3, defense_gan, 2021-11-14 13:19, 0.9300502512562814
mnist, F, mim, 0.2, defense_gan, 2021-11-14 13:19, 0.9305527638190955
mnist, E, mim, 0.2, defense_gan, 2021-11-14 13:19, 0.9163819095477387
mnist, D, cw, 0.1, defense_gan, 2021-11-14 13:19, 0.12060301507537688
mnist, C, cw, 0.05, defense_gan, 2021-11-14 13:19, 0.21939698492462312
mnist, A, mim, 0.2, defense_gan, 2021-11-14 13:18, 0.9528643216080402
mnist, B, mim, 0.2, defense_gan, 2021-11-14 13:19, 0.9100502512562814
mnist, D, cw, 0.2, defense_gan, 2021-11-14 13:19, 0.11959798994974874
mnist, C, cw, 0.1, defense_gan, 2021-11-14 13:19, 0.24110552763819096
mnist, E, mim, 0.3, defense_gan, 2021-11-14 13:19, 0.8076381909547738
mnist, F, mim, 0.3, defense_gan, 2021-11-14 13:19, 0.8563819095477387
mnist, D, cw, 0.3, defense_gan, 2021-11-14 13:19, 0.11768844221105527
mnist, C, cw, 0.2, defense_gan, 2021-11-14 13:19, 0.24914572864321607
mnist, A, mim, 0.3, defense_gan, 2021-11-14 13:18, 0.891859296482412
mnist, D, fgsm, 0.05, defense_gan, 2021-11-14 13:19, 0.9702512562814071
mnist, B, mim, 0.3, defense_gan, 2021-11-14 13:19, 0.8253266331658291
mnist, C, cw, 0.3, defense_gan, 2021-11-14 13:19, 0.28824120603015074
mnist, E, bim, 0.05, defense_gan, 2021-11-14 13:19, 0.9716582914572864
mnist, F, bim, 0.05, defense_gan, 2021-11-14 13:19, 0.9762814070351759
